Study,NST_Site,General Location,Specific Location,State Name,Region,Specific Region,Coastal Ecological Area,Latitude,Longitude,NST_Sample_ID,Station Letter,Sample Number,Fiscal Year,Condition Code,Condition Code Description,Sex,Gonadal Index,Gonadal Index Description,Length,Wet Weight,Full Displacement Volume,Empty Displacement Volume,Dermo,Dermo Infection Intensity,Dermo Numerical Value,Dermo Description,Gonad Subsample Wet Weight,Ceroid,Cestode Body,Cestode Gill,Cestode Mantle,Ciliate Digestive Tract,Ciliate Gut,Ciliate Large Gill,Ciliate Small Gill,Copepod Body,Copepod Gill,Copepod Gut Digestive Tubule,Nematode,Nematopsis Body,Nematopsis Gill,Nematopsis Mantle,Neoplasm,Pea Crab,Rickettsia Digestive Tubule,Rickettsia Gut,Proctoeces,Bucephalus,Trematode Metacercariae,Trematode Metacercariae Description,Diffuse Necrosis,Focal Necrosis,Diffuse Inflammation,Focal Inflammation,Digestive Tubule Atrophy,Digestive Tubule Atrophy Description,Multinucleated sphere X,Multinucleated sphere X Description,Xenoma,Edema,Hydra Gill,Nemertine Gill,Other trematode sporocyst gill,Other trematode sporocyst gut,Protozoan Digestive Tubule,Protozoan Gut,Tumor,Unidentified Gonoduct Organism,Unidentified Organism,Unusual Digestive Tubule
Mussel Watch,BBGC,Biscayne Bay,Gould's Canal,Florida,East Coast,Florida Keys to Cape Hatteras,Central and South Biscayne Bay,25.5333,-80.3232,MW1995BBGCCV,a,1,1995,,,Male,8,Oyster - 8 : Spawned: Few Gametes visible,7.7,,225,140,N,Negative,0,No hypnospores present,,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,BBGC,Biscayne Bay,Gould's Canal,Florida,East Coast,Florida Keys to Cape Hatteras,Central and South Biscayne Bay,25.5333,-80.3232,MW1995BBGCCV,a,2,1995,,,Male,7,Oyster - 7 : Spawned: Some mature gametes still remaining,5.8,,225,140,N,Negative,0,No hypnospores present,,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,BBGC,Biscayne Bay,Gould's Canal,Florida,East Coast,Florida Keys to Cape Hatteras,Central and South Biscayne Bay,25.5333,-80.3232,MW1995BBGCCV,a,3,1995,,,Female,8,Oyster - 8 : Spawned: Few Gametes visible,4.1,,225,140,N,Negative,0,No hypnospores present,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,1,"Average wall thickness less than normal but greater then one-half normal thickness, most tubules showing some atrophy, some tubules still normal",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,BBGC,Biscayne Bay,Gould's Canal,Florida,East Coast,Florida Keys to Cape Hatteras,Central and South Biscayne Bay,25.5333,-80.3232,MW1995BBGCCV,a,4,1995,,,Male,8,Oyster - 8 : Spawned: Few Gametes visible,5.3,,225,140,N,Negative,0,No hypnospores present,,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,BBGC,Biscayne Bay,Gould's Canal,Florida,East Coast,Florida Keys to Cape Hatteras,Central and South Biscayne Bay,25.5333,-80.3232,MW1995BBGCCV,a,5,1995,,,Male,4,Oyster - 4 : Late development,6.9,,225,140,VL,Very light,0.33,1-10 hypnospores,,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,CBBO,Chesapeake Bay,Bodkin Point,Maryland,East Coast,Cape Hatteras to Delaware Bay,Upper Chesapeake Bay,39.1573,-76.4048,MW1995CBBOCV,a,1,1995,,,Female,3,Oyster - 3 : Mid development,10,,1055,650,N,Negative,0,No hypnospores present,,172,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,CBBO,Chesapeake Bay,Bodkin Point,Maryland,East Coast,Cape Hatteras to Delaware Bay,Upper Chesapeake Bay,39.1573,-76.4048,MW1995CBBOCV,a,2,1995,,,Female,8,Oyster - 8 : Spawned: Few Gametes visible,11,,1055,650,N,Negative,0,No hypnospores present,,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,1,"Average wall thickness less than normal but greater then one-half normal thickness, most tubules showing some atrophy, some tubules still normal",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,CBBO,Chesapeake Bay,Bodkin Point,Maryland,East Coast,Cape Hatteras to Delaware Bay,Upper Chesapeake Bay,39.1573,-76.4048,MW1995CBBOCV,a,3,1995,,,Female,3,Oyster - 3 : Mid development,10.1,,1055,650,N,Negative,0,No hypnospores present,,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,CBBO,Chesapeake Bay,Bodkin Point,Maryland,East Coast,Cape Hatteras to Delaware Bay,Upper Chesapeake Bay,39.1573,-76.4048,MW1995CBBOCV,a,4,1995,,,Female,8,Oyster - 8 : Spawned: Few Gametes visible,11.2,,1055,650,N,Negative,0,No hypnospores present,,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,CBBO,Chesapeake Bay,Bodkin Point,Maryland,East Coast,Cape Hatteras to Delaware Bay,Upper Chesapeake Bay,39.1573,-76.4048,MW1995CBBOCV,a,5,1995,,,Female,8,Oyster - 8 : Spawned: Few Gametes visible,11.2,,1055,650,N,Negative,0,No hypnospores present,,114,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
