year,month,ph,o2,no3,po4,si,fe,spco2,to,so
2004,1,8.122864,250.97887,2.5891855,0.25694433,4.639858,0.001241534,31.468166,12.229954,34.30169
2004,2,8.121401,265.07758,3.207088,0.30345988,4.8550787,0.0012147634,31.515516,11.117142,34.31928
2004,3,8.121297,273.65164,2.2503343,0.2465081,4.0865116,0.0011303498,31.332727,11.007979,34.261654
2004,4,8.114388,274.3471,1.1137488,0.1644804,3.3797016,0.0011283659,31.846405,12.066129,34.038395
2004,5,8.07208,259.424,0.29740775,0.09696957,3.4373822,0.0012986076,35.7163,15.774302,33.856884
2004,6,8.039618,240.90923,0.22546753,0.08055306,3.7686007,0.0014395928,39.01368,18.836792,33.70969
2004,7,8.015012,224.65715,0.19491218,0.0647883,4.170314,0.0016653478,41.75327,22.550276,33.82862
2004,8,8.023068,218.59636,0.12385699,0.055718027,4.1614633,0.0016838381,40.79996,23.237555,33.763763
2004,9,8.043393,218.9416,0.0676953,0.05259021,4.0050716,0.0015477887,38.674404,22.429523,33.836075
2004,10,8.07332,226.18309,0.11966929,0.0664381,3.7923121,0.0013600541,35.683147,19.898691,34.027
2004,11,8.10062,236.94269,0.4465373,0.10627461,3.5830424,0.0012712082,33.144115,16.670591,34.1738
2004,12,8.111909,244.41954,1.0173523,0.15347518,3.7917783,0.0013205482,32.117493,14.918103,34.263645
2005,1,8.117854,252.60506,1.6876491,0.19978781,4.1091065,0.0013410451,31.574198,12.895982,34.31896
2005,2,8.120828,264.72568,2.2158911,0.24110687,4.193227,0.0012650202,31.264473,11.090319,34.286716
2005,3,8.118945,272.4511,1.7821406,0.21645561,3.9638698,0.0012345047,31.29669,10.829942,34.22423
2005,4,8.104856,272.0265,0.7635881,0.14074409,3.537854,0.0012125379,32.45383,12.170347,34.01616
2005,5,8.080776,261.97314,0.29515204,0.10060582,3.447224,0.0011934916,34.636917,14.288342,33.82086
2005,6,8.0360985,244.88045,0.18954365,0.08016291,3.833168,0.0014185193,39.107677,18.678507,33.806217
2005,7,8.005394,225.58604,0.2279448,0.06164464,4.3986697,0.0017505739,42.53049,22.696491,33.757977
2005,8,8.002922,216.8276,0.2245758,0.049310215,4.5390244,0.0018581828,42.883526,24.386541,33.78252
